category,id,name,level,sockets,rarity,core_effects,effects
Shield,1D1E42,Crowning Kite Shield of the Indo,shield_warrior_merchant_rare03a,31,0,Rare,,0832F61C3E0807B62B
Shield,1D1E41,Master's Kite Shield,shield_warrior_merchant_infrequent03c,27,0,Infrequent,,0832F61C4290
Shield,1D1E40,Kite Shield of Freezing,shield_warrior_merchant_infrequent03b,27,0,Rare,,0832F614266F
Shield,1D1E3F,Sylvanite Kite Shield,shield_warrior_merchant_infrequent03a,24,3,Infrequent,,0832F6
Shield,1D1E3E,Sylvanite Kite Shield,shield_warrior_merchant_common03c,24,2,Infrequent,,0832F6
Shield,1D1E3D,Tempered Kite Shield,shield_warrior_merchant_common03b,24,0,Infrequent,14213F,0832F6
Shield,1D1E3C,Kite Shield of Clotting,shield_warrior_merchant_common03a,24,0,Infrequent,,0832F61C3E17
Shield,1D1E3B,Sylvanite Kite Shield,shield_warrior_merchant_rare02c,24,3,Infrequent,,0832F6
Shield,1D1E3A,Noble's Kite Shield of Displacin,shield_warrior_merchant_rare02b,24,0,Rare,,0832F61421A21C3E21
Shield,1D1E39,Major Kite Shield of Fire Attenu,shield_warrior_merchant_rare02a,24,0,Rare,,0832F6080AEA1C3E1B
Shield,1D1E38,Azurite Kite Shield,shield_warrior_merchant_infrequent02c,15,2,Infrequent,,0832F6
Shield,1D1E37,Sentinel Kite Shield,shield_warrior_merchant_infrequent02b,15,0,Rare,,0832F6080AE8
Shield,1D1E36,Kite Shield of Protection,shield_warrior_merchant_infrequent02a,15,0,Rare,,0832F607AA6C
Shield,1D1E35,Potent Kite Shield,shield_warrior_merchant_common02c,12,0,Rare,,0832F607A78F
Shield,1D1E34,Kite Shield of Dismay,shield_warrior_merchant_common02b,12,0,Rare,,0832F6142685
Shield,1D1E33,Perpetual Kite Shield,shield_warrior_merchant_common02a,12,0,Rare,,0832F607A2AE
Shield,1D1E32,Superior Kite Shield of Phasing,shield_warrior_merchant_rare01c,7,0,Rare,07A2C9,0832F607B627
Shield,1D1E31,Hardened Kite Shield of the Anti,shield_warrior_merchant_rare01b,7,0,Infrequent,07A2D6,0832F607AA63
Shield,1D1E30,Braced Kite Shield of Ice Aversi,shield_warrior_merchant_rare01a,7,0,Infrequent,,0832F607A5D807AA4F
Shield,1D1E2F,Steel Kite Shield,shield_warrior_merchant_infrequent01c,7,2,Infrequent,,0832F6
Shield,1D1E2E,Kite Shield of Fire Shield,shield_warrior_merchant_infrequent01b,5,0,Infrequent,,0832F607AA36
Shield,1D1E2D,Squire's Kite Shield,shield_warrior_merchant_infrequent01a,5,0,Infrequent,,0832F607A732
Shield,1D1E2C,Iron Kite Shield,shield_warrior_merchant_common01c,2,1,Infrequent,,0832F6
Shield,1D1E2B,Iron Kite Shield,shield_warrior_merchant_common01b,2,0,Common,,0832F6
Shield,1D1E2A,Iron Kite Shield,shield_warrior_merchant_common01a,2,0,Common,,0832F6
Shield,1D1E29,Vigorous Buckler of Horror,shield_rogue_merchant_rare04c,35,0,Rare,,0832F51C4287142687
Shield,1D1E28,Savant's Buckler of Sanctuary,shield_rogue_merchant_rare04b,35,0,Rare,,0832F51C42911C3E28
Shield,1D1E27,Ingenious Buckler of Winter,shield_rogue_merchant_rare04a,35,0,Rare,,0832F507A781142670
Shield,1D1E26,Ingenious Buckler,shield_rogue_merchant_infrequent04c,35,0,Infrequent,,0832F507A781
Shield,1D1E25,Buckler of Inceneration,shield_rogue_merchant_infrequent04b,35,0,Rare,,0832F5142769
Shield,1D1E24,Ebony Buckler,shield_rogue_merchant_infrequent04a,35,2,Infrequent,,0832F5
Shield,1D1E23,Ebony Buckler,shield_rogue_merchant_common04c,35,2,Infrequent,,0832F5
Shield,1D1E22,Spy's Buckler,shield_rogue_merchant_common04b,35,0,Rare,,0832F507A770
Shield,1D1E21,Buckler of the Indomitable,shield_rogue_merchant_common04a,35,0,Rare,,0832F507B62B
Shield,1D1E20,Ebony Buckler,shield_rogue_merchant_rare03c,35,2,Infrequent,,0832F5
Shield,1D1E1F,Crowning Buckler of Sanctuary,shield_rogue_merchant_rare03b,31,0,Rare,,0832F51C3E081C3E28
Shield,1D1E1E,Impenetrable Buckler of Temperin,shield_rogue_merchant_rare03a,31,0,Rare,,0832F507A5D51C3E22
Shield,1D1E1D,Buckler of Storm's Bite,shield_rogue_merchant_infrequent03c,27,0,Rare,,0832F51428E2
Shield,1D1E1C,Master's Buckler,shield_rogue_merchant_infrequent03b,27,0,Infrequent,,0832F51C4290
Shield,1D1E1B,Ash Buckler,shield_rogue_merchant_infrequent03a,24,2,Infrequent,,0832F5
Shield,1D1E1A,Ash Buckler,shield_rogue_merchant_common03c,24,2,Infrequent,,0832F5
Shield,1D1E19,Buckler of Displacing,shield_rogue_merchant_common03b,24,0,Rare,,0832F51C3E21
Shield,1D1E18,Noble's Buckler,shield_rogue_merchant_common03a,24,0,Infrequent,,0832F51421A2
Shield,1D1E17,Ash Buckler,shield_rogue_merchant_rare02c,24,2,Infrequent,,0832F5
Shield,1D1E16,Tempered Buckler of Shelter,shield_rogue_merchant_rare02b,24,0,Rare,14213F,0832F507AA6F
Shield,1D1E15,Major Buckler of Ice Attenuation,shield_rogue_merchant_rare02a,24,0,Rare,,0832F5080AEA1C3E1D
Shield,1D1E14,Oak Buckler,shield_rogue_merchant_infrequent02c,15,2,Infrequent,,0832F5
Shield,1D1E13,Buckler of Fire Hindrance,shield_rogue_merchant_infrequent02b,15,0,Infrequent,,0832F507AA4D
Shield,1D1E12,Trickster's Buckler,shield_rogue_merchant_infrequent02a,15,0,Rare,,0832F507A771
Shield,1D1E11,Buckler of Flammability,shield_rogue_merchant_common02c,12,0,Rare,,0832F5142767
Shield,1D1E10,Potent Buckler,shield_rogue_merchant_common02b,12,0,Rare,,0832F507A78F
Shield,1D1E0F,Buckler of Cold,shield_rogue_merchant_common02a,12,0,Rare,,0832F514266E
Shield,1D1E0E,Crusader's Buckler of Phasing,shield_rogue_merchant_rare01c,7,0,Rare,,0832F507A73F07B627
Shield,1D1E0D,Reinforced Buckler of the Antive,shield_rogue_merchant_rare01b,7,0,Infrequent,,0832F507A5DA07AA63
Shield,1D1E0C,Superior Buckler of the Hale,shield_rogue_merchant_rare01a,7,0,Rare,07A2C9,0832F507B650
Shield,1D1E0B,Elm Buckler,shield_rogue_merchant_infrequent01c,7,2,Infrequent,,0832F5
Shield,1D1E0A,Buckler of Mending,shield_rogue_merchant_infrequent01b,5,0,Infrequent,,0832F507AA5A
Shield,1D1E09,Squire's Buckler,shield_rogue_merchant_infrequent01a,5,0,Infrequent,,0832F507A732
Shield,1D1E08,Birch Buckler,shield_rogue_merchant_common01c,2,1,Infrequent,,0832F5
Shield,1D1E07,Birch Buckler,shield_rogue_merchant_common01b,2,0,Common,,0832F5
Shield,1D1E06,Birch Buckler,shield_rogue_merchant_common01a,2,0,Common,,0832F5
Shield,1D1E04,Sage's Talisman of Storm's Rage,shield_mage_merchant_rare04c,35,0,Rare,,0B56911C42921428E3
Shield,1D1E03,Impregnable Talisman of Winter,shield_mage_merchant_rare04b,35,0,Rare,1C3E07,0B5691142670
Shield,1D1E02,Emperor's Talisman of Incenerati,shield_mage_merchant_rare04a,35,0,Rare,,0B56911C4275142769
Shield,1D1E01,Archmagus' Talisman,shield_mage_merchant_infrequent04d,35,0,Rare,,0B569107A779
Shield,1D1E00,Talisman of the Elixir,shield_mage_merchant_infrequent04c,35,0,Infrequent,,0B56911C3E26
Shield,1D1DFF,Savant's Talisman,shield_mage_merchant_infrequent04b,35,0,Infrequent,,0B56911C4291
Shield,1D1DFE,Platinum Talisman,shield_mage_merchant_infrequent04a,35,2,Infrequent,,0B5691
Shield,1D1DFD,Platinum Talisman,shield_mage_merchant_common04d,35,2,Infrequent,,0B5691
Shield,1D1DFC,Talisman of Lightning Warding,shield_mage_merchant_common04c,35,0,Infrequent,,0B56911C3E20
Shield,1D1DFB,Ingenious Talisman,shield_mage_merchant_common04b,35,0,Infrequent,,0B569107A781
Shield,1D1DFA,Platinum Talisman,shield_mage_merchant_common04a,35,0,Infrequent,,0B56911C3E1E
Shield,1D1DF9,Platinum Talisman,shield_mage_merchant_rare03d,35,2,Infrequent,,0B5691
Shield,1D1DF8,Impenetrable Talisman of the Ind,shield_mage_merchant_rare03c,31,0,Rare,,0B569107A5D507B62B
Shield,1D1DF7,Boundless Talisman of Haven,shield_mage_merchant_rare03b,31,0,Rare,,0B56911421441C3E27
Shield,1D1DF6,Mage's Talisman of Combustion,shield_mage_merchant_rare03a,31,0,Rare,,0B56911C4293142768
Shield,1D1DF5,Talisman of Distress,shield_mage_merchant_infrequent03d,27,0,Rare,,0B5691142686
Shield,1D1DF4,Noble's Talisman,shield_mage_merchant_infrequent03c,27,0,Infrequent,,0B56911421A2
Shield,1D1DF3,Talisman of the Avalanche,shield_mage_merchant_infrequent03b,27,0,Infrequent,,0B5691142219
Shield,1D1DF2,Gold Talisman,shield_mage_merchant_infrequent03a,24,3,Infrequent,,0B5691
Shield,1D1DF1,Gold Talisman,shield_mage_merchant_common03d,24,2,Infrequent,,0B5691
Shield,1D1DF0,Staunch Talisman,shield_mage_merchant_common03c,24,0,Infrequent,,0B569107A5D6
Shield,1D1DEF,Talisman of Fire Attenuation,shield_mage_merchant_common03b,24,0,Infrequent,,0B56911C3E1B
Shield,1D1DEE,Gold Talisman,shield_mage_merchant_common03a,24,0,Rare,,0B569107A2B6
Shield,1D1DED,Gold Talisman,shield_mage_merchant_rare02d,24,2,Infrequent,,0B5691
Shield,1D1DEC,Tempered Talisman of Lightning A,shield_mage_merchant_rare02c,24,0,Infrequent,14213F,0B56911C3E1F
Shield,1D1DEB,Major Talisman of Shelter,shield_mage_merchant_rare02b,24,0,Rare,,0B5691080AEA07AA6F
Shield,1D1DEA,Noble's Talisman of Ice Attenuat,shield_mage_merchant_rare02a,24,0,Infrequent,,0B56911421A21C3E1D
Shield,1D1DE9,Silver Talisman,shield_mage_merchant_infrequent02d,15,2,Infrequent,,0B5691
Shield,1D1DE8,Shrewd Talisman,shield_mage_merchant_infrequent02c,15,0,Infrequent,,0B569107A77E
Shield,1D1DE7,Talisman of Fire Hindrance,shield_mage_merchant_infrequent02b,15,0,Infrequent,,0B569107AA4D
Shield,1D1DE6,Scholar's Talisman,shield_mage_merchant_infrequent02a,15,0,Infrequent,,0B569107A71D
Shield,1D1DE5,Silver Talisman,shield_mage_merchant_common02d,15,2,Infrequent,,0B5691
Shield,1D1DE4,Talisman of Protection,shield_mage_merchant_common02c,12,0,Rare,,0B569107AA6C
Shield,1D1DE3,Harbinger's Talisman,shield_mage_merchant_common02b,12,0,Infrequent,,0B569107A723
Shield,1D1DE2,Talisman of Flammability,shield_mage_merchant_common02a,12,0,Rare,,0B5691142767
Shield,1D1DE1,Bronze Talisman,shield_mage_merchant_rare01d,7,2,Infrequent,,0B5691
Shield,1D1DE0,Superior Talisman of Lightning S,shield_mage_merchant_rare01c,7,0,Infrequent,07A2C9,0B569107AA52
Shield,1D1DDF,Apprentice's Talisman of the Soo,shield_mage_merchant_rare01b,7,0,Infrequent,,0B569107A71B07A961
Shield,1D1DDE,Warrior's Talisman of Ice Shield,shield_mage_merchant_rare01a,7,0,Infrequent,,0B569107A73707AA51
Shield,1D1DDD,Bronze Talisman,shield_mage_merchant_infrequent01d,7,1,Infrequent,,0B5691
Shield,1D1DDC,Hearty Talisman,shield_mage_merchant_infrequent01c,5,0,Rare,,0B569107A78D
Shield,1D1DDB,Talisman of Fire Shield,shield_mage_merchant_infrequent01b,5,0,Infrequent,,0B569107AA36
Shield,1D1DDA,Canny Talisman,shield_mage_merchant_infrequent01a,5,0,Infrequent,,0B569107A77C
Shield,1D1DD9,Copper Talisman,shield_mage_merchant_common01d,2,1,Infrequent,,0B5691
Shield,1D1DD8,Copper Talisman,shield_mage_merchant_common01c,2,0,Common,,0B5691
Shield,1D1DD7,Copper Talisman,shield_mage_merchant_common01b,2,0,Common,,0B5691
Shield,1D1DD6,Copper Talisman,shield_mage_merchant_common01a,2,0,Common,,0B5691
Feet,1D1DD1,Prismere Greaves,feet_merchant_rare04d,34,2,Infrequent,,1D1E84
Feet,1D1DD0,Savant's Shoes of Lightning Ward,feet_merchant_rare04c,36,0,Infrequent,,05E7D81C42911C3E20
Feet,1D1DCF,King's Boots of Fire Warding,feet_merchant_rare04b,36,0,Infrequent,,081EDE1C42741C3E1C
Feet,1D1DCE,Enduring Greaves of Ice Warding,feet_merchant_rare04a,37,0,Infrequent,1C3E06,1D1E841C3E1E
Feet,1D1DCD,Boots of the Elixir,feet_merchant_infrequent04d,36,0,Infrequent,,081EDE1C3E26
Feet,1D1DCC,Infusing Shoes,feet_merchant_infrequent04c,36,0,Infrequent,,05E7D807A757
Feet,1D1DCB,Renewing Boots,feet_merchant_infrequent04b,36,0,Infrequent,,081EDE07A750
Feet,1D1DCA,Prismere Greaves,feet_merchant_infrequent04a,34,2,Infrequent,,1D1E84
Feet,1D1DC9,Spiritweave Shoes,feet_merchant_common04d,33,2,Infrequent,,05E7D8
Feet,1D1DC8,Savant's Shoes,feet_merchant_common04c,33,0,Infrequent,,05E7D81C4291
Feet,1D1DC7,Boots of Coagulation,feet_merchant_common04b,33,0,Infrequent,,081EDE1C3E18
Feet,1D1DC6,Enduring Greaves,feet_merchant_common04a,34,0,Infrequent,1C3E06,1D1E84
Feet,1D1DC5,Prismere Greaves,feet_merchant_rare03d,34,2,Infrequent,,1D1E84
Feet,1D1DC4,Wise Shoes of Fire Warding,feet_merchant_rare03c,30,0,Rare,,05E7D81C42961C3E1C
Feet,1D1DC3,Enduring Boots of Ice Warding,feet_merchant_rare03b,30,0,Infrequent,1C3E06,081EDE1C3E1E
Feet,1D1DC2,Zealous Greaves of the Indomitab,feet_merchant_rare03a,31,0,Rare,,1D1E841C428907B62B
Feet,1D1DC1,Boots of Clotting,feet_merchant_infrequent03d,27,0,Infrequent,,081EDE1C3E17
Feet,1D1DC0,Master's Shoes,feet_merchant_infrequent03c,27,0,Infrequent,,05E7D81C4290
Feet,1D1DBF,Renewing Boots,feet_merchant_infrequent03b,27,0,Infrequent,,081EDE07A750
Feet,1D1DBE,Sylvanite Greaves,feet_merchant_infrequent03a,24,2,Infrequent,,1D1E84
Feet,1D1DBD,Hexweave Shoes,feet_merchant_common03d,24,2,Infrequent,,05E7D8
Feet,1D1DBC,Shoes of the Elixir,feet_merchant_common03c,24,0,Infrequent,,05E7D81C3E25
Feet,1D1DBB,Boots of the Elixir,feet_merchant_common03b,24,0,Infrequent,,081EDE1C3E25
Feet,1D1DBA,Tempered Greaves,feet_merchant_common03a,24,0,Infrequent,14213F,1D1E84
Feet,1D1DB9,Hexweave Shoes,feet_merchant_rare02d,24,2,Infrequent,,05E7D8
Feet,1D1DB8,Master's Shoes of Lightning Atte,feet_merchant_rare02c,24,0,Infrequent,,05E7D81C42901C3E1F
Feet,1D1DB7,Revitalizing Boots of Ice Attenu,feet_merchant_rare02b,24,0,Infrequent,,081EDE07A74E1C3E1D
Feet,1D1DB6,Noble's Greaves of Fire Attenuat,feet_merchant_rare02a,24,0,Infrequent,,1D1E841421A21C3E1B
Feet,1D1DB5,Silk Shoes,feet_merchant_infrequent02d,15,1,Infrequent,,05E7D8
Feet,1D1DB4,Shoes of Lightning Hindrance,feet_merchant_infrequent02c,15,0,Infrequent,,05E7D807AA55
Feet,1D1DB3,Boots of Ice Hindrance,feet_merchant_infrequent02b,15,0,Infrequent,,081EDE07AA4E
Feet,1D1DB2,Greaves of Fire Hindrance,feet_merchant_infrequent02a,16,0,Infrequent,,1D1E8407AA4D
Feet,1D1DB1,Silk Shoes,feet_merchant_common02d,15,1,Infrequent,,05E7D8
Feet,1D1DB0,Prodigy's Shoes,feet_merchant_common02c,12,0,Infrequent,,05E7D807A71C
Feet,1D1DAF,Boots of the Remedy,feet_merchant_common02b,12,0,Infrequent,,081EDE07AA60
Feet,1D1DAE,Indestructible Greaves,feet_merchant_common02a,12,0,Infrequent,07A345,1D1E84
Feet,1D1DAD,Linen Shoes,feet_merchant_rare01d,7,2,Infrequent,,05E7D8
Feet,1D1DAC,Hardened Shoes of the Hale,feet_merchant_rare01c,7,0,Rare,07A2D6,05E7D807B650
Feet,1D1DAB,Warrior's Boots of Mending,feet_merchant_rare01b,7,0,Infrequent,,081EDE07A73707AA5A
Feet,1D1DAA,Apprentice's Greaves of the Anti,feet_merchant_rare01a,8,0,Infrequent,,1D1E8407A71B07AA63
Feet,1D1DA9,Linen Shoes,feet_merchant_infrequent01d,7,1,Infrequent,,05E7D8
Feet,1D1DA8,Shoes of Lightning Shield,feet_merchant_infrequent01c,5,0,Infrequent,,05E7D807AA52
Feet,1D1DA7,Boots of Ice Shield,feet_merchant_infrequent01b,5,0,Infrequent,,081EDE07AA51
Feet,1D1DA6,Greaves of Fire Shield,feet_merchant_infrequent01a,5,0,Infrequent,,1D1E8407AA36
Feet,1D1DA5,Cotton Shoes,feet_merchant_common01d,2,1,Infrequent,,05E7D8
Feet,1D1DA4,Cotton Shoes,feet_merchant_common01c,2,0,Common,,05E7D8
Feet,1D1DA3,Leather Boots,feet_merchant_common01b,2,0,Common,,081EDE
Feet,1D1DA2,Iron Greaves,feet_merchant_common01a,2,0,Common,,1D1E84
Legs,1D1D9D,Fine Dreadscale Leggings,legs_merchant_rare04b,36,0,Infrequent,,081EDB1C42781C3E1E
Legs,1D1D9C,Mage's Chausses of Fire Warding,legs_merchant_rare04a,37,0,Infrequent,,1D1E811C42931C3E1C
Legs,1D1D9B,Chausses of Lightning Warding,legs_merchant_infrequent04d,37,0,Infrequent,,1D1E811C3E20
Legs,1D1D9A,Dreadscale Leggings,legs_merchant_infrequent04b,33,3,Infrequent,,081EDB
Legs,1D1D99,Prismere Chausses,legs_merchant_infrequent04a,34,3,Infrequent,,1D1E81
Legs,1D1D98,Prismere Chausses,legs_merchant_common04d,34,3,Infrequent,,1D1E81
Legs,1D1D97,King's Chausses,legs_merchant_common04b,34,0,Infrequent,,1D1E811C4274
Legs,1D1D96,Savant's Chausses,legs_merchant_common04a,34,0,Infrequent,,1D1E811C4291
Legs,1D1D95,Chausses of Ice Warding,legs_merchant_rare03d,34,0,Infrequent,,1D1E811C3E1E
Legs,1D1D94,Fine Trollhide Leggings,legs_merchant_rare03b,27,0,Infrequent,,081EDB1C3E1C
Legs,1D1D93,Sylvanite Chausses,legs_merchant_rare03a,24,3,Infrequent,,1D1E81
Legs,1D1D92,Sylvanite Chausses,legs_merchant_infrequent03d,24,3,Infrequent,,1D1E81
Legs,1D1D91,Fine Trollhide Leggings,legs_merchant_infrequent03b,24,0,Infrequent,,081EDB07A724
Legs,1D1D90,Paladin's Chausses,legs_merchant_infrequent03a,24,0,Infrequent,,1D1E8107A743
Legs,1D1D8F,Sylvanite Chausses,legs_merchant_common03d,24,2,Infrequent,,1D1E81
Legs,1D1D8E,Master's Chausses,legs_merchant_common03b,24,0,Infrequent,,1D1E811C4290
Legs,1D1D8D,Noble's Chausses,legs_merchant_common03a,24,0,Infrequent,,1D1E811421A2
Legs,1D1D8C,Azurite Chausses,legs_merchant_rare02d,16,3,Infrequent,,1D1E81
Legs,1D1D8B,Fine Studded Leather Leggings,legs_merchant_rare02b,18,0,Infrequent,,081EDB1C3E25
Legs,1D1D8A,Tempered Chausses,legs_merchant_rare02a,16,0,Infrequent,14213F,1D1E81
Legs,1D1D89,Azurite Chausses,legs_merchant_infrequent02d,16,2,Infrequent,,1D1E81
Legs,1D1D88,Fine Studded Leather Leggings,legs_merchant_infrequent02b,18,0,Infrequent,,081EDB07AA55
Legs,1D1D87,Chausses of Ice Hindrance,legs_merchant_infrequent02a,16,0,Infrequent,,1D1E8107AA4E
Legs,1D1D86,Chausses of Fire Hindrance,legs_merchant_common02d,12,0,Infrequent,,1D1E8107AA4D
Legs,1D1D85,Shielded Chausses,legs_merchant_common02b,12,0,Infrequent,07A2D7,1D1E81
Legs,1D1D84,Steel Chausses,legs_merchant_common02a,10,1,Infrequent,,1D1E81
Legs,1D1D83,Steel Chausses,legs_merchant_rare01d,10,2,Infrequent,,1D1E81
Legs,1D1D82,Hardened Leggings of the Hale,legs_merchant_rare01b,9,0,Rare,07A2D6,081EDB07B650
Legs,1D1D81,Apprentice's Chausses of Conserv,legs_merchant_rare01a,8,0,Infrequent,,1D1E8107A71B07AA5C
Legs,1D1D80,Chainmail Chausses,legs_merchant_infrequent01d,5,1,Infrequent,,1D1E81
Legs,1D1D7F,Crude Boiled Leather Leggings,legs_merchant_infrequent01b,5,0,Common,,081EDB
Legs,1D1D7E,Squire's Chausses,legs_merchant_infrequent01a,5,0,Infrequent,,1D1E8107A732
Legs,1D1D7D,Iron Chausses,legs_merchant_common01d,2,1,Infrequent,,1D1E81
Legs,1D1D7C,Leather Leggings,legs_merchant_common01b,2,0,Common,,081EDB
Legs,1D1D7B,Iron Chausses,legs_merchant_common01a,2,0,Common,,1D1E81
Torso,1D1D71,Dreadscale Armor,torso_merchant_rare04d,33,4,Infrequent,,081EDA1AC307
Torso,1D1D6F,Renewing Armor of Winter,torso_merchant_rare04b,36,0,Rare,,081EDA1AC30707A750142670
Torso,1D1D6E,Enduring Cuirass of Annihilating,torso_merchant_rare04a,37,0,Infrequent,1C3E06,1D1E801AC3071421EE
Torso,1D1D6D,Innervating Armor,torso_merchant_infrequent04d,36,0,Rare,,081EDA1AC3071C428D
Torso,1D1D6B,Armor of Storm's Rage,torso_merchant_infrequent04b,36,0,Rare,,081EDA1AC3071428E3
Torso,1D1D6A,Prismere Cuirass,torso_merchant_infrequent04a,34,4,Infrequent,,1D1E801AC307
Torso,1D1D67,Armor of the Elixir,torso_merchant_common04b,33,0,Infrequent,,081EDA1AC3071C3E26
Torso,1D1D66,Templar's Cuirass,torso_merchant_common04a,34,0,Infrequent,,1D1E801AC3071C4278
Torso,1D1D65,Dreadscale Armor,torso_merchant_rare03d,33,2,Infrequent,,081EDA1AC307
Torso,1D1D63,King's Armor of Rancidness,torso_merchant_rare03b,30,0,Rare,,081EDA1AC3071C4274142764
Torso,1D1D62,Enduring Cuirass of Eradicating,torso_merchant_rare03a,31,0,Infrequent,1C3E06,1D1E801AC3071421ED
Torso,1D1D61,Rallying Cuirass,torso_merchant_infrequent03d,28,0,Infrequent,140BC7,1D1E801AC307
Torso,1D1D5F,Noxious Armor,torso_merchant_infrequent03b,27,0,Rare,07A7F3,081EDA1AC307
Torso,1D1D5E,Sylvanite Cuirass,torso_merchant_infrequent03a,24,2,Infrequent,,1D1E801AC307
Torso,1D1D5B,Stalker's Armor,torso_merchant_common03b,24,0,Infrequent,140C28,081EDA1AC307
Torso,1D1D5A,Paladin's Cuirass,torso_merchant_common03a,24,0,Infrequent,,1D1E801AC30707A743
Torso,1D1D59,Sylvanite Cuirass,torso_merchant_rare02d,24,2,Infrequent,,1D1E801AC307
Torso,1D1D57,Rallying Armor of the Elixir,torso_merchant_rare02b,24,0,Infrequent,140BC7,081EDA1AC3071C3E25
Torso,1D1D56,Renewing Cuirass of Eradicating,torso_merchant_rare02a,24,0,Infrequent,,1D1E801AC30707A7501421ED
Torso,1D1D55,Studded Leather Armor,torso_merchant_infrequent02d,15,1,Infrequent,,081EDA1AC307
Torso,1D1D53,Knight's Armor,torso_merchant_infrequent02b,15,0,Infrequent,,081EDA1AC30707A739
Torso,1D1D52,Cuirass of Sundering,torso_merchant_infrequent02a,16,0,Infrequent,,1D1E801AC30707A92D
Torso,1D1D4F,Shielded Armor,torso_merchant_common02b,12,0,Infrequent,07A2D7,081EDA1AC307
Torso,1D1D4E,Cuirass of Lightning Shield,torso_merchant_common02a,12,0,Infrequent,,1D1E801AC30707AA52
Torso,1D1D4B,Rousing Armor of Lightning Avers,torso_merchant_rare01b,7,0,Infrequent,079F59,081EDA1AC30707AA53
Torso,1D1D4A,Warrior's Cuirass of Dismantling,torso_merchant_rare01a,8,0,Infrequent,,1D1E801AC30707A73707A8D6
Torso,1D1D49,Boiled Leather Armor,torso_merchant_infrequent01d,7,1,Infrequent,,081EDA1AC307
Torso,1D1D47,Armor of Ice Shield,torso_merchant_infrequent01b,5,0,Infrequent,,081EDA1AC30707AA51
Torso,1D1D46,Cuirass of Dismantling,torso_merchant_infrequent01a,5,0,Infrequent,,1D1E801AC30707A8D6
Torso,1D1D45,Iron Cuirass,torso_merchant_common01d,2,1,Infrequent,,1D1E801AC307
Torso,1D1D43,Leather Armor,torso_merchant_common01b,2,0,Common,,081EDA1AC307
Torso,1D1D42,Iron Cuirass,torso_merchant_common01a,2,0,Common,,1D1E801AC307
Hat,1D1D38,Dreadscale Hood,head_merchant_rare04d,33,3,Infrequent,,081EDC
Hat,1D1D37,Vigorous Cowl of Impaling,head_merchant_rare04c,36,0,Rare,,05E7D51C4287142207
Hat,1D1D36,King's Hood of Coagulation,head_merchant_rare04b,36,0,Infrequent,,081EDC1C42741C3E18
