id,value
079F8D,Prefix_Damage_Fire_03
079F8E,Prefix_Damage_Fire_04
079F8F,Prefix_Damage_Fire_05
07A01C,Prefix_Damage_Lightning_01
07A01D,Prefix_Damage_Lightning_02
07A01E,Prefix_Damage_Lightning_03
07A01F,Prefix_Damage_Lightning_05
07A020,Prefix_Damage_Lightning_04
07A021,Prefix_Damage_Total_Modifier_01
07A022,Prefix_Damage_Total_Modifier_02
07A029,Prefix_Damage_Total_Modifier_03
07A02D,Prefix_Duration_Stun_Modifier_01
07A033,Prefix_Duration_Stun_Modifier_02
07A034,Prefix_Duration_Stun_Modifier_03
07A035,Prefix_RacialBonus_Nature_01
07A06D,Prefix_RacialBonus_Nature_02
07A06E,Prefix_RacialBonus_Nature_03
07A06F,Prefix_RacialBonus_Beastmen_01
07A09C,Prefix_RacialBonus_Beastmen_03
07A0DF,Prefix_RacialBonus_Beastmen_02
07A0E0,Prefix_RacialBonus_Humanoids_01
07A0F5,Prefix_RacialBonus_Humanoids_02
07A0F6,Prefix_RacialBonus_Humanoids_03
07A0FC,Prefix_RacialBonus_Demons_03
07A0FE,Prefix_RacialBonus_Demons_02
07A11D,Prefix_RacialBonus_Demons_01
07A2AE,Prefix_Defense_Total_Modifier_01
07A2AF,Prefix_Defense_Total_Modifier_02
07A2B6,Prefix_Defense_Total_Modifier_03
07A2C9,Prefix_Defense_Armor_Modifier_01
07A2CA,Prefix_Defense_Armor_Modifier_02
07A2CC,Prefix_Defense_Armor_Modifier_03
07A2CD,Prefix_Defense_Armor_01
07A2D5,Prefix_Defense_Armor_02
07A2D6,Prefix_Defense_Armor_03
07A2D7,Prefix_Defense_Armor_04
07A345,Prefix_Defense_Armor_05
07A5D5,Prefix_Defense_Block_05
07A5D6,Prefix_Defense_Block_04
07A5D7,Prefix_Defense_Block_03
07A5D8,Prefix_Defense_Block_02
07A5D9,Prefix_Defense_Block_01
07A5DA,Prefix_Defense_Block_Modifier_01
07A5DC,Prefix_Defense_Block_Modifier_02
07A5DD,Prefix_Defense_Block_Modifier_03
07A715,Prefix_Char_Power_01
07A71B,Prefix_Char_Power_02
07A71C,Prefix_Char_Power_03
07A71D,Prefix_Char_Power_04
07A71E,Prefix_Char_Power_05
07A722,Prefix_Char_Power_Modifier_01
07A723,Prefix_Char_Power_Modifier_02
07A724,Prefix_Char_Power_Modifier_03
07A732,Prefix_Char_Health_01
07A737,Prefix_Char_Health_02
07A738,Prefix_Char_Health_03
07A739,Prefix_Char_Health_04
07A73A,Prefix_Char_Health_05
07A73F,Prefix_Char_Health_Modifier_01
07A741,Prefix_Char_Health_Modifier_02
07A743,Prefix_Char_Health_Modifier_03
07A745,Prefix_Char_Health_Regen_01
07A74D,Prefix_Char_Health_Regen_02
07A74E,Prefix_Char_Health_Regen_03
07A750,Prefix_Char_Health_Regen_04
07A751,Prefix_Char_Health_Regen_05
07A753,Prefix_Char_Power_Regen_01
07A755,Prefix_Char_Power_Regen_02
07A756,Prefix_Char_Power_Regen_03
07A757,Prefix_Char_Power_Regen_04
07A758,Prefix_Char_Power_Regen_05
07A75D,Prefix_Char_Crit_Chance_Wpn_01
07A75E,Prefix_Char_Crit_Chance_Wpn_02
07A75F,Prefix_Char_Crit_Chance_Wpn_03
07A760,Prefix_Char_Crit_Damage_01
07A762,Prefix_Char_Crit_Damage_02
07A764,Prefix_Char_Crit_Damage_03
07A766,Prefix_Char_Crit_Damage_04
07A767,Prefix_Char_Crit_Damage_05
07A769,Prefix_Char_Might_Abilities_01
07A76E,Prefix_Char_Might_Abilities_02
07A770,Prefix_Char_Finesse_Abilities_02
07A771,Prefix_Char_Finesse_Abilities_01
07A775,Prefix_Char_Sorcery_Abilities_01
07A779,Prefix_Char_Sorcery_Abilities_02
07A77C,Prefix_Char_Cost_Reduction_01
07A77E,Prefix_Char_Cost_Reduction_02
07A781,Prefix_Char_Cost_Reduction_03
07A787,Prefix_Char_Health_Plus_Regen_01
07A78B,Prefix_Char_Health_Plus_Regen_02
07A78C,Prefix_Char_Health_Plus_Regen_03
07A78D,Prefix_Char_Health_Plus_Power_01
07A78F,Prefix_Char_Health_Plus_Power_02
07A790,Prefix_Char_Health_Plus_Power_03
07A7C7,Prefix_Char_Power_Plus_Regen_01
07A7C8,Prefix_Char_Power_Plus_Regen_02
07A7C9,Prefix_Char_Power_Plus_Regen_03
07A7D3,Prefix_Char_Power_Regen_Plus_Health_Regen_01
07A7D6,Prefix_Char_Power_Regen_Plus_Health_Regen_02
07A7D8,Prefix_Char_Power_Regen_Plus_Health_Regen_03
07A7E3,Prefix_Damage_Lightning_Plus_Stun_01
07A7EA,Prefix_Damage_Lightning_Plus_Stun_02
07A7EE,Prefix_Damage_Lightning_Plus_Stun_03
07A7EF,Prefix_Damage_Pierce_Plus_DoTs_01
07A7F2,Alchemy_AllDamage_01
07A7F3,Prefix_Damage_Pierce_Plus_DoTs_02
07A7F4,Prefix_Damage_Pierce_Plus_DoTs_03
07A7F5,Alchemy_AllDamage_02
07A7F8,Alchemy_AllDamage_03
07A8C5,Suffix_Damage_Piercing_Modifier_01
07A8C6,Suffix_Damage_Piercing_Modifier_02
07A8C9,Suffix_Damage_Piercing_Modifier_03
07A8D6,Suffix_Damage_Physical_Modifier_01
07A8E5,Alchemy_PhysicalDamage_01
07A927,Alchemy_BleedingDamage_01
07A92B,Suffix_Damage_Physical_Modifier_02
07A92C,Alchemy_LightningDamage_01
07A92D,Suffix_Damage_Physical_Modifier_03
07A93C,Alchemy_IceDamage_01
07A93D,Alchemy_PoisonDamage_01
07A940,Suffix_Damage_Ice_Modifier_01
07A944,Suffix_Damage_Ice_Modifier_02
07A945,Suffix_Damage_Ice_Modifier_03
07A94D,Suffix_Damage_Fire_Modifier_03
07A94F,Suffix_Damage_Fire_Modifier_02
07A950,Suffix_Damage_Fire_Modifier_01
07A952,Suffix_Damage_Lightning_Modifier_01
07A953,Suffix_Damage_Lightning_Modifier_02
07A954,Suffix_Damage_Lightning_Modifier_03
07A961,Suffix_Damage_Magic_Modifier_01
07A966,Suffix_Damage_Magic_Modifier_02
07A96B,Suffix_Damage_Magic_Modifier_03
07A98F,Alchemy_SkillAlchemy_01
07A99C,Alchemy_SkillBlacksmithing_01
07A99F,Suffix_Damage_Bleeding_Modifier_01
07A9A6,Alchemy_SkillDetect_01
07A9A8,Alchemy_SkillDispelling_01
07A9A9,Suffix_Damage_Bleeding_Modifier_02
07A9AC,Alchemy_SkillLockpicking_01
07A9AD,Suffix_Damage_Bleeding_Modifier_03
07A9B3,Suffix_Damage_Poison_Modifier_01
07A9BB,Suffix_Damage_Poison_Modifier_02
07A9BD,Suffix_Damage_Poison_Modifier_03
07A9D1,Alchemy_SkillMercantile_01
07A9D2,Alchemy_SkillPersuasion_01
07A9D3,Alchemy_SkillSagecraft_01
07A9D4,Alchemy_SkillStealth_01
07AA09,Alchemy_HealthRegeneration_01
07AA0A,Alchemy_ManaRegeneration_01
07AA10,Alchemy_HealthMaxIncrease_01
07AA15,Alchemy_ManaMaxIncrease_01
07AA20,Suffix_Damage_Bleeding_03
07AA21,Suffix_Damage_Bleeding_02
07AA22,Suffix_Damage_Bleeding_01
07AA36,Suffix_Defense_Fire_Modifier_01
07AA4C,Suffix_Defense_Fire_Modifier_02
07AA4D,Suffix_Defense_Fire_Modifier_03
07AA4E,Suffix_Defense_Ice_Modifier_03
07AA4F,Suffix_Defense_Ice_Modifier_02
07AA51,Suffix_Defense_Ice_Modifier_01
07AA52,Suffix_Defense_Lightning_Modifier_01
07AA53,Suffix_Defense_Lightning_Modifier_02
07AA55,Suffix_Defense_Lightning_Modifier_03
07AA5A,Suffix_Defense_Bleeding_Modifier_01
07AA5C,Suffix_Defense_Bleeding_Modifier_02
07AA5D,Suffix_Defense_Bleeding_Modifier_03
07AA5F,Suffix_Defense_Poison_Modifier_03
07AA60,Suffix_Defense_Poison_Modifier_02
07AA63,Suffix_Defense_Poison_Modifier_01
07AA6C,Suffix_Defense_Elemental_Modifier_01
07AA6E,Suffix_Defense_Elemental_Modifier_02
07AA6F,Suffix_Defense_Elemental_Modifier_03
07AA70,Suffix_Char_Crit_Chance_01
07AA72,Suffix_Char_Crit_Chance_02
07AA73,Suffix_Char_Crit_Chance_03
07AA74,Suffix_Char_Crit_Chance_Plus_Damage_01
07AA8F,Suffix_Char_Crit_Chance_Plus_Damage_02
07AA90,Suffix_Char_Crit_Chance_Plus_Damage_03
07AAC9,Alchemy_BleedingResistance_01
07AAD3,Alchemy_PoisonResistance_01
07AAD4,Alchemy_FireResistance_01
07AAD5,Alchemy_LightningResistance_01
07AAD6,Alchemy_IceResistance_01
07AAD9,Alchemy_MagicResistance_01
07AADA,Alchemy_ArmorIncrease_01
07AADC,Alchemy_AllDamageResistance_01
07AAEC,Alchemy_PhysicalResistance_01
07AB18,Alchemy_Invincibility_01
07AB7F,Alchemy_Lifesteal_01
07AB80,Alchemy_Invisibility_01
07ABD1,Alchemy_XPIncrease_01
07AD4A,Alchemy_Lifesteal_02
07AD4B,Alchemy_Lifesteal_03
07B58B,Prefix_Char_Finesse_Crit_Damage_01
07B58F,Prefix_Char_Finesse_Crit_Damage_02
07B590,Prefix_Char_Might_Health_Regen_01
07B591,Prefix_Char_Might_Health_Regen_02
07B593,Prefix_Char_Sorcery_Power_Modifier_01
07B595,Prefix_Char_Sorcery_Power_Modifier_02
07B596,Suffix_Char_Sorcery_Spell_Damage_Modifier_01
07B5A0,Suffix_Char_Sorcery_Spell_Damage_Modifier_02
07B5A3,Suffix_Char_Might_Physical_Modifier_01
07B5A6,Suffix_Char_Might_Physical_Modifier_02
07B5A9,Suffix_Char_Finesse_Poison_Modifier_02
07B5C4,Suffix_Char_Finesse_Poison_Modifier_01
07B621,Suffix_Defense_Physical_Modifier_01
07B627,Suffix_Defense_Physical_Modifier_02
07B628,Suffix_Defense_Physical_Modifier_03
07B62B,Suffix_Defense_Status_Modifier_03
07B63B,Suffix_Defense_Status_Modifier_02
07B650,Suffix_Defense_Status_Modifier_01
07B757,Alchemy_MagicDamage_01
07BEDD,Alchemy_AllDamageResistance_02
07BEE3,Alchemy_ArmorIncrease_02
07BEE4,Alchemy_ArmorIncrease_03
07BEE9,Alchemy_BleedingResistance_02
07BEEA,Alchemy_BleedingResistance_03
07BEED,Alchemy_CriticalChance_02
07BEEE,Alchemy_CriticalChance_03
07BEF0,Alchemy_FireDamage_02
07BEF2,Alchemy_FireDamage_03
07BEF3,Alchemy_FireResistance_02
07BEF4,Alchemy_FireResistance_03
07BEF7,Alchemy_HealthMaxIncrease_02
07BEF8,Alchemy_HealthMaxIncrease_03
07BEF9,Alchemy_HealthRegeneration_02
07BEFA,Alchemy_HealthRegeneration_03
07BEFB,Alchemy_IceDamage_02
07BEFC,Alchemy_IceDamage_03
07BEFD,Alchemy_IceResistance_02
07BEFE,Alchemy_IceResistance_03
07BF00,Alchemy_LightningDamage_02
07BF01,Alchemy_LightningDamage_03
07BF02,Alchemy_LightningResistance_02
07BF04,Alchemy_LightningResistance_03
07BF05,Alchemy_MagicDamage_02
07BF06,Alchemy_MagicDamage_03
07BF07,Alchemy_MagicResistance_02
07BF08,Alchemy_MagicResistance_03
07BF0B,Alchemy_ManaMaxIncrease_02
07BF0C,Alchemy_ManaMaxIncrease_03
07BF0D,Alchemy_ManaRegeneration_02
07BF0E,Alchemy_ManaRegeneration_03
07BF13,Alchemy_PhysicalDamage_02
07BF14,Alchemy_PhysicalDamage_03
07BF15,Alchemy_PhysicalResistance_02
07BF16,Alchemy_PhysicalResistance_03
07BF17,Alchemy_PoisonDamage_02
07BF18,Alchemy_PoisonDamage_03
07BF19,Alchemy_PoisonResistance_02
07BF1B,Alchemy_PoisonResistance_03
07BF1C,Alchemy_SkillAlchemy_02
07BF1D,Alchemy_SkillAlchemy_03
07BF1E,Alchemy_SkillBlacksmithing_02
07BF1F,Alchemy_SkillBlacksmithing_03
07BF20,Alchemy_SkillDetect_02
07BF21,Alchemy_SkillDetect_03
07BF22,Alchemy_SkillDispelling_02
07BF23,Alchemy_SkillDispelling_03
07BF24,Alchemy_SkillLockpicking_02
07BF25,Alchemy_SkillLockpicking_03
07BF26,Alchemy_SkillMercantile_02
07BF27,Alchemy_SkillMercantile_03
07BF28,Alchemy_SkillPersuasion_02
07BF29,Alchemy_SkillPersuasion_03
07BF2A,Alchemy_SkillSagecraft_02
07BF2B,Alchemy_SkillSagecraft_03
07BF2C,Alchemy_SkillStealth_02
07BF2D,Alchemy_SkillStealth_03
07BF30,Alchemy_XPIncrease_02
07BF31,Alchemy_XPIncrease_03
07E5F6,Shrine_Mitharu_HealthRegenArmor
07E5F7,Shrine_Njordir_DamageBonus
07E5F8,Shrine_Thyrdon_DamageSpeed
07E5FB,Shrine_Lyria_PowerCostReduction
07E631,Shrine_Vraekor_FireDamage_FireResistance
07E632,Shrine_Belen_HealthManaSteal
07E645,Shrine_Ethene_XPSkills
07E646,Shrine_Ohnshan_Resistance_XPMultiplier
07E942,Shrine_Lupoku_SkillBonus_SpeedBonus
07E9F8,Shrine_Ynadon_CritChanceElementalResistance
07EA34,Curse_SummonMonsters
0809B0,Suffix_Damage_Day_Modifier_01
0809B3,Suffix_Damage_Day_Modifier_02
0809C6,Suffix_Damage_Day_Modifier_03
0809C7,Suffix_Damage_Night_Modifier_01
0809C8,Suffix_Damage_Night_Modifier_02
0809C9,Suffix_Damage_Night_Modifier_03
080AE7,Prefix_Defense_TotalArmor_Modifier_01
080AE8,Prefix_Defense_TotalArmor_Modifier_02
080AEA,Prefix_Defense_TotalArmor_Modifier_03
080AF4,Suffix_Char_Crit_Chance_Magic_01
080AF8,Suffix_Char_Crit_Chance_Magic_02
080AFB,Suffix_Char_Crit_Chance_Magic_03
080AFC,Suffix_Char_Crit_Damage_Magic_01
080AFD,Suffix_Char_Crit_Damage_Magic_02
080AFF,Suffix_Char_Crit_Damage_Magic_03
080B00,Suffix_Char_Crit_Chance_Physical_01
080B02,Suffix_Char_Crit_Chance_Physical_02
080B03,Suffix_Char_Crit_Chance_Physical_03
080B04,Suffix_Char_Crit_Damage_Physical_01
080B0A,Suffix_Char_Crit_Damage_Physical_02
080B0B,Suffix_Char_Crit_Damage_Physical_03
080B15,Prefix_Damage_HighLife_Modifier_01
080B17,Prefix_Damage_HighLife_Modifier_02
080B1D,Prefix_Damage_HighLife_Modifier_03
080B20,Prefix_Damage_LowLife_Modifier_01
080B21,Prefix_Damage_LowLife_Modifier_02
080B4D,Suffix_Char_XP_01
080B52,Suffix_Char_XP_02
080B53,Suffix_Char_XP_03
080B55,Suffix_Char_Gold_01
080B56,Suffix_Char_Gold_02
080B57,Suffix_Char_Gold_03
080B58,Suffix_Char_Berserk_01
080C38,Suffix_Char_Berserk_02
080C39,Suffix_Char_Berserk_03
081C27,ItemBuff_Set_Warrior_16_03
081C29,ItemBuff_Set_Warrior_16_02
081C2A,ItemBuff_Set_Warrior_16_01
081C2C,ItemBuff_Owner_ArmorModifier_01
081EDA,ItemBuff_RogueArmor_CritBooster_Torso01
081EDB,ItemBuff_RogueArmor_CritBooster_Legs01
081EDC,ItemBuff_RogueArmor_CritBooster_Head01
081EDD,ItemBuff_RogueArmor_CritBooster_Hands01
081EDE,ItemBuff_RogueArmor_CritBooster_Feet01
08278C,Prefix_Damage_LowLife_Modifier_03
0827FD,ShardBuff_Fire_03
